2012-10-07	36863
2012-10-08	51819
2012-10-09	50902
2012-10-10	49655
2012-10-11	51056
2012-10-12	51112
2012-10-13	39011
2012-10-14	37933
2012-10-15	51781
2012-10-16	52176
2012-10-17	51922
2012-10-18	50612
2012-10-19	46273
2012-10-20	34300
2012-10-21	37845
2012-10-22	52731
2012-10-23	76835
2012-10-24	54680
2012-10-25	48057
2012-10-26	58789
2012-10-27	35425
2012-10-28	41445
2012-10-29	52894
2012-10-30	49012
2012-10-31	49985
2012-11-01	47301
2012-11-02	46859
2012-11-03	38075
2012-11-04	41536
2012-11-05	55525
2012-11-06	49165
2012-11-07	54434
2012-11-08	57940
2012-11-09	47982
2012-11-10	37255
2012-11-11	35712
2012-11-12	48723
2012-11-13	46695
2012-11-14	49139
2012-11-15	47645
2012-11-16	44271
2012-11-17	36255
2012-11-18	37755
2012-11-19	61673
2012-11-20	47281
2012-11-21	48674
2012-11-22	43390
2012-11-23	41531
2012-11-24	36222
2012-11-25	39597
2012-11-26	51290
2012-11-27	57020
2012-11-28	50455
2012-11-29	47889
2012-11-30	48065
2012-12-01	36890
2012-12-02	35600
2012-12-03	48562
2012-12-04	55322
2012-12-05	52279
2012-12-06	52946
2012-12-07	48368
2012-12-08	36344
2012-12-09	38367
2012-12-10	54561
2012-12-11	51015
2012-12-12	48548
2012-12-13	50716
2012-12-14	47456
2012-12-15	39109
2012-12-16	36380
2012-12-17	51613
2012-12-18	53453
2012-12-19	55059
2012-12-20	59175
2012-12-21	53011
2012-12-22	34299
2012-12-23	33614
2012-12-24	42068
2012-12-25	35030
2012-12-26	36264
2012-12-27	40582
2012-12-28	39640
2012-12-29	53601
2012-12-30	38363
2012-12-31	39382
2013-01-01	12428
