	506534
the	26924
and	25447
i	19027
to	18316
of	17585
a	14009
my	12232
in	10404
you	10274
that	10191
is	8888
for	7778
with	7754
not	7438
your	6700
his	6603
be	6538
this	5750
it	5736
as	5733
but	5726
he	5718
have	5542
thou	5013
me	4719
will	4380
by	4191
so	4002
thy	3965
what	3751
are	3577
shall	3418
if	3354
do	3231
all	3224
we	3147
our	3030
him	3028
her	2939
