          : 507968
the       : 22727
I         : 19833
and       : 18134
to        : 15486
of        : 15317
a         : 12319
you       : 11646
my        : 10626
in        : 9598
is        : 8060
that      : 7819
not       : 7808
me        : 7544
And       : 7328
with      : 6625
it        : 6563
be        : 6221
his       : 6183
your      : 5860
